Timestamp,Comment,IsVisitorAccessAllowed,Plate,ResidentFoundCount,VisitorFoundCount,,TagImage
2021-09-20T15:43:28.637Z,,FALSE,B5337Z,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154328768_B5337Z.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154328768_B5337Z.jpeg
2021-09-20T15:44:53.774Z,,FALSE,EBXY86,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154452896_EBXY86.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154452896_EBXY86.jpeg
2021-09-20T15:45:33.320Z,,FALSE,ENVN79,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154532809_ENVN79.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154532809_ENVN79.jpeg
2021-09-20T15:46:18.749Z,,FALSE,LCEM97,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154618179_LCEM97.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154618179_LCEM97.jpeg
2021-09-20T15:47:55.239Z,,TRUE,ESED34,0,1,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154755135_ESED34.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154755135_ESED34.jpeg
2021-09-20T15:48:01.040Z,Master LPR,FALSE,PH0Q,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154800553_PH0Q.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154800553_PH0Q.jpeg
2021-09-20T15:48:09.130Z,Common LPR,FALSE,PHD,0,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154809168_PHD.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154809168_PHD.jpeg
2021-09-20T15:50:37.628Z,,FALSE,PWHH91,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155037144_PWHH91.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155037144_PWHH91.jpeg
2021-09-20T15:50:46.020Z,,FALSE,JDAL07,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155045140_JDAL07.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155045140_JDAL07.jpeg
2021-09-20T15:50:59.757Z,,FALSE,GVFW59,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155059601_GVFW59.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_155059601_GVFW59.jpeg
